WBGene00000001	aap-1	Y110A7A.10	ENSG00000145675;ENSG00000105647;ENSG00000117461;ENSG00000268173;ENSG00000278139	PIK3R1;PIK3R2;PIK3R3;;	Agammaglobulinemia 7, autosomal recessive, 615214|Immunodeficiency 36, 616005|SHORT syndrome, 269880;Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1, 603387;;;
WBGene00001881	his-7	F45F2.4	ENSG00000196747;ENSG00000184260;ENSG00000275221;ENSG00000276903;ENSG00000164508;ENSG00000180573;ENSG00000181218;ENSG00000184270;ENSG00000188486;ENSG00000196787;ENSG00000196866;ENSG00000203812;ENSG00000246705;ENSG00000272196;ENSG00000274997;ENSG00000276368;ENSG00000277075;ENSG00000278463;ENSG00000278677	HIST1H2AI;HIST2H2AC;HIST1H2AK;HIST1H2AL;HIST1H2AA;HIST1H2AC;HIST3H2A;HIST2H2AB;H2AFX;HIST1H2AG;HIST1H2AD;HIST2H2AA3;H2AFJ;HIST2H2AA4;HIST1H2AH;HIST1H2AJ;HIST1H2AE;HIST1H2AB;HIST1H2AM	
WBGene00001882	his-8	F45F2.12	ENSG00000124635;ENSG00000146047;ENSG00000180596;ENSG00000184678;ENSG00000185130;ENSG00000196890;ENSG00000197903;ENSG00000233822;ENSG00000203814;ENSG00000158373;ENSG00000273802;ENSG00000274290;ENSG00000276410;ENSG00000277224;ENSG00000278588;ENSG00000274641;ENSG00000275713;ENSG00000234289;ENSG00000273703;ENSG00000101812;ENSG00000123569	HIST1H2BJ;HIST1H2BA;HIST1H2BC;HIST2H2BE;HIST1H2BL;HIST3H2BB;HIST1H2BK;HIST1H2BN;HIST2H2BF;HIST1H2BD;HIST1H2BG;HIST1H2BE;HIST1H2BB;HIST1H2BF;HIST1H2BI;HIST1H2BO;HIST1H2BH;H2BFS;HIST1H2BM;H2BFM;H2BFWT	
WBGene00001883	his-9	ZK131.3	ENSG00000197153;ENSG00000197409;ENSG00000273983;ENSG00000274267;ENSG00000274750;ENSG00000275379;ENSG00000275714;ENSG00000277775;ENSG00000278272;ENSG00000278828;ENSG00000183598;ENSG00000203811;ENSG00000203852;ENSG00000203818;ENSG00000168148;ENSG00000132475;ENSG00000163041;ENSG00000178458	HIST1H3J;HIST1H3D;HIST1H3G;HIST1H3B;HIST1H3E;HIST1H3I;HIST1H3A;HIST1H3F;HIST1H3C;HIST1H3H;HIST2H3D;HIST2H3C;HIST2H3A;HIST2H3PS2;HIST3H3;H3F3B;H3F3A;	
WBGene00001884	his-10	ZK131.4	ENSG00000158406;ENSG00000197061;ENSG00000197238;ENSG00000197837;ENSG00000270276;ENSG00000270882;ENSG00000276180;ENSG00000278705;ENSG00000273542;ENSG00000276966;ENSG00000277157;ENSG00000278637;ENSG00000274618;ENSG00000275126;ENSG00000275663	HIST1H4H;HIST1H4C;HIST1H4J;HIST4H4;HIST2H4B;HIST2H4A;HIST1H4I;HIST1H4B;HIST1H4K;HIST1H4E;HIST1H4D;HIST1H4A;HIST1H4F;HIST1H4L;HIST1H4G	
WBGene00001885	his-11	ZK131.5	ENSG00000124635;ENSG00000146047;ENSG00000158373;ENSG00000180596;ENSG00000184678;ENSG00000185130;ENSG00000196890;ENSG00000197903;ENSG00000233822;ENSG00000273703;ENSG00000273802;ENSG00000274290;ENSG00000276410;ENSG00000277224;ENSG00000278588;ENSG00000203814;ENSG00000234289;ENSG00000274641;ENSG00000275713;ENSG00000101812;ENSG00000123569;ENSG00000274559	HIST1H2BJ;HIST1H2BA;HIST1H2BD;HIST1H2BC;HIST2H2BE;HIST1H2BL;HIST3H2BB;HIST1H2BK;HIST1H2BN;HIST1H2BM;HIST1H2BG;HIST1H2BE;HIST1H2BB;HIST1H2BF;HIST1H2BI;HIST2H2BF;H2BFS;HIST1H2BO;HIST1H2BH;H2BFM;H2BFWT;	
WBGene00001886	his-12	ZK131.6	ENSG00000196747;ENSG00000184260;ENSG00000275221;ENSG00000276903;ENSG00000164508;ENSG00000180573;ENSG00000181218;ENSG00000184270;ENSG00000188486;ENSG00000196787;ENSG00000196866;ENSG00000203812;ENSG00000246705;ENSG00000272196;ENSG00000274997;ENSG00000276368;ENSG00000277075;ENSG00000278463;ENSG00000278677	HIST1H2AI;HIST2H2AC;HIST1H2AK;HIST1H2AL;HIST1H2AA;HIST1H2AC;HIST3H2A;HIST2H2AB;H2AFX;HIST1H2AG;HIST1H2AD;HIST2H2AA3;H2AFJ;HIST2H2AA4;HIST1H2AH;HIST1H2AJ;HIST1H2AE;HIST1H2AB;HIST1H2AM	
WBGene00001887	his-13	ZK131.7	ENSG00000197153;ENSG00000197409;ENSG00000203852;ENSG00000203818;ENSG00000273983;ENSG00000274267;ENSG00000274750;ENSG00000275379;ENSG00000275714;ENSG00000277775;ENSG00000278272;ENSG00000278828;ENSG00000183598;ENSG00000203811;ENSG00000168148;ENSG00000132475;ENSG00000163041;ENSG00000178458	HIST1H3J;HIST1H3D;HIST2H3A;HIST2H3PS2;HIST1H3G;HIST1H3B;HIST1H3E;HIST1H3I;HIST1H3A;HIST1H3F;HIST1H3C;HIST1H3H;HIST2H3D;HIST2H3C;HIST3H3;H3F3B;H3F3A;	
WBGene00001888	his-14	ZK131.8	ENSG00000158406;ENSG00000197061;ENSG00000197238;ENSG00000197837;ENSG00000276180;ENSG00000270276;ENSG00000270882;ENSG00000278705;ENSG00000275126;ENSG00000273542;ENSG00000276966;ENSG00000277157;ENSG00000278637;ENSG00000274618;ENSG00000275663	HIST1H4H;HIST1H4C;HIST1H4J;HIST4H4;HIST1H4I;HIST2H4B;HIST2H4A;HIST1H4B;HIST1H4L;HIST1H4K;HIST1H4E;HIST1H4D;HIST1H4A;HIST1H4F;HIST1H4G	
WBGene00001889	his-15	ZK131.9	ENSG00000124635;ENSG00000146047;ENSG00000158373;ENSG00000184678;ENSG00000185130;ENSG00000196890;ENSG00000197903;ENSG00000180596;ENSG00000233822;ENSG00000273703;ENSG00000276410;ENSG00000278588;ENSG00000203814;ENSG00000234289;ENSG00000273802;ENSG00000274290;ENSG00000277224;ENSG00000274641;ENSG00000275713;ENSG00000101812;ENSG00000123569;ENSG00000274559	HIST1H2BJ;HIST1H2BA;HIST1H2BD;HIST2H2BE;HIST1H2BL;HIST3H2BB;HIST1H2BK;HIST1H2BC;HIST1H2BN;HIST1H2BM;HIST1H2BB;HIST1H2BI;HIST2H2BF;H2BFS;HIST1H2BG;HIST1H2BE;HIST1H2BF;HIST1H2BO;HIST1H2BH;H2BFM;H2BFWT;	
WBGene00001890	his-16	ZK131.10	ENSG00000196747;ENSG00000184260;ENSG00000275221;ENSG00000276903;ENSG00000164508;ENSG00000180573;ENSG00000181218;ENSG00000184270;ENSG00000188486;ENSG00000196787;ENSG00000196866;ENSG00000203812;ENSG00000246705;ENSG00000272196;ENSG00000274997;ENSG00000276368;ENSG00000277075;ENSG00000278463;ENSG00000278677	HIST1H2AI;HIST2H2AC;HIST1H2AK;HIST1H2AL;HIST1H2AA;HIST1H2AC;HIST3H2A;HIST2H2AB;H2AFX;HIST1H2AG;HIST1H2AD;HIST2H2AA3;H2AFJ;HIST2H2AA4;HIST1H2AH;HIST1H2AJ;HIST1H2AE;HIST1H2AB;HIST1H2AM	
WBGene00001891	his-17	K06C4.5	ENSG00000197153;ENSG00000197409;ENSG00000273983;ENSG00000274267;ENSG00000274750;ENSG00000275379;ENSG00000275714;ENSG00000277775;ENSG00000278272;ENSG00000278828;ENSG00000183598;ENSG00000203811;ENSG00000203852;ENSG00000203818;ENSG00000168148;ENSG00000132475;ENSG00000163041;ENSG00000178458	HIST1H3J;HIST1H3D;HIST1H3G;HIST1H3B;HIST1H3E;HIST1H3I;HIST1H3A;HIST1H3F;HIST1H3C;HIST1H3H;HIST2H3D;HIST2H3C;HIST2H3A;HIST2H3PS2;HIST3H3;H3F3B;H3F3A;	
WBGene00001892	his-18	K06C4.10	ENSG00000158406;ENSG00000197061;ENSG00000197238;ENSG00000197837;ENSG00000270276;ENSG00000270882;ENSG00000276180;ENSG00000278705;ENSG00000273542;ENSG00000276966;ENSG00000277157;ENSG00000278637;ENSG00000274618;ENSG00000275126;ENSG00000275663	HIST1H4H;HIST1H4C;HIST1H4J;HIST4H4;HIST2H4B;HIST2H4A;HIST1H4I;HIST1H4B;HIST1H4K;HIST1H4E;HIST1H4D;HIST1H4A;HIST1H4F;HIST1H4L;HIST1H4G	
WBGene00001893	his-19	K06C4.11	ENSG00000196747;ENSG00000184260;ENSG00000275221;ENSG00000276903;ENSG00000164508;ENSG00000180573;ENSG00000181218;ENSG00000184270;ENSG00000188486;ENSG00000196787;ENSG00000196866;ENSG00000203812;ENSG00000246705;ENSG00000272196;ENSG00000274997;ENSG00000276368;ENSG00000277075;ENSG00000278463;ENSG00000278677	HIST1H2AI;HIST2H2AC;HIST1H2AK;HIST1H2AL;HIST1H2AA;HIST1H2AC;HIST3H2A;HIST2H2AB;H2AFX;HIST1H2AG;HIST1H2AD;HIST2H2AA3;H2AFJ;HIST2H2AA4;HIST1H2AH;HIST1H2AJ;HIST1H2AE;HIST1H2AB;HIST1H2AM	
WBGene00001894	his-20	K06C4.4	ENSG00000124635;ENSG00000146047;ENSG00000158373;ENSG00000180596;ENSG00000184678;ENSG00000185130;ENSG00000196890;ENSG00000197903;ENSG00000233822;ENSG00000273703;ENSG00000273802;ENSG00000274290;ENSG00000276410;ENSG00000277224;ENSG00000278588;ENSG00000203814;ENSG00000234289;ENSG00000274641;ENSG00000275713;ENSG00000101812;ENSG00000123569;ENSG00000274559	HIST1H2BJ;HIST1H2BA;HIST1H2BD;HIST1H2BC;HIST2H2BE;HIST1H2BL;HIST3H2BB;HIST1H2BK;HIST1H2BN;HIST1H2BM;HIST1H2BG;HIST1H2BE;HIST1H2BB;HIST1H2BF;HIST1H2BI;HIST2H2BF;H2BFS;HIST1H2BO;HIST1H2BH;H2BFM;H2BFWT;	
WBGene00001895	his-21	K06C4.3	ENSG00000196747;ENSG00000184260;ENSG00000275221;ENSG00000276903;ENSG00000164508;ENSG00000180573;ENSG00000181218;ENSG00000184270;ENSG00000188486;ENSG00000196787;ENSG00000196866;ENSG00000203812;ENSG00000246705;ENSG00000272196;ENSG00000274997;ENSG00000276368;ENSG00000277075;ENSG00000278463;ENSG00000278677	HIST1H2AI;HIST2H2AC;HIST1H2AK;HIST1H2AL;HIST1H2AA;HIST1H2AC;HIST3H2A;HIST2H2AB;H2AFX;HIST1H2AG;HIST1H2AD;HIST2H2AA3;H2AFJ;HIST2H2AA4;HIST1H2AH;HIST1H2AJ;HIST1H2AE;HIST1H2AB;HIST1H2AM	
WBGene00001896	his-22	K06C4.12	ENSG00000124635;ENSG00000146047;ENSG00000158373;ENSG00000180596;ENSG00000184678;ENSG00000185130;ENSG00000196890;ENSG00000197903;ENSG00000233822;ENSG00000273703;ENSG00000273802;ENSG00000274290;ENSG00000276410;ENSG00000277224;ENSG00000278588;ENSG00000203814;ENSG00000234289;ENSG00000274641;ENSG00000275713;ENSG00000101812;ENSG00000123569;ENSG00000274559	HIST1H2BJ;HIST1H2BA;HIST1H2BD;HIST1H2BC;HIST2H2BE;HIST1H2BL;HIST3H2BB;HIST1H2BK;HIST1H2BN;HIST1H2BM;HIST1H2BG;HIST1H2BE;HIST1H2BB;HIST1H2BF;HIST1H2BI;HIST2H2BF;H2BFS;HIST1H2BO;HIST1H2BH;H2BFM;H2BFWT;	
WBGene00001898	his-24	M163.3	ENSG00000189060;ENSG00000168298;ENSG00000184357	H1F0;HIST1H1E;HIST1H1B	Rahman syndrome, 617537;
WBGene00001899	his-25	ZK131.2	ENSG00000197153;ENSG00000197409;ENSG00000273983;ENSG00000274267;ENSG00000274750;ENSG00000275379;ENSG00000275714;ENSG00000277775;ENSG00000278272;ENSG00000278828;ENSG00000183598;ENSG00000203811;ENSG00000203852;ENSG00000203818;ENSG00000168148;ENSG00000132475;ENSG00000163041;ENSG00000178458	HIST1H3J;HIST1H3D;HIST1H3G;HIST1H3B;HIST1H3E;HIST1H3I;HIST1H3A;HIST1H3F;HIST1H3C;HIST1H3H;HIST2H3D;HIST2H3C;HIST2H3A;HIST2H3PS2;HIST3H3;H3F3B;H3F3A;	
WBGene00001900	his-26	ZK131.1	ENSG00000158406;ENSG00000197061;ENSG00000197238;ENSG00000197837;ENSG00000270276;ENSG00000270882;ENSG00000276180;ENSG00000278705;ENSG00000273542;ENSG00000276966;ENSG00000277157;ENSG00000278637;ENSG00000274618;ENSG00000275126;ENSG00000275663	HIST1H4H;HIST1H4C;HIST1H4J;HIST4H4;HIST2H4B;HIST2H4A;HIST1H4I;HIST1H4B;HIST1H4K;HIST1H4E;HIST1H4D;HIST1H4A;HIST1H4F;HIST1H4L;HIST1H4G	
WBGene00001901	his-27	K06C4.13	ENSG00000197153;ENSG00000197409;ENSG00000273983;ENSG00000274267;ENSG00000274750;ENSG00000275379;ENSG00000275714;ENSG00000277775;ENSG00000278272;ENSG00000278828;ENSG00000183598;ENSG00000203811;ENSG00000203852;ENSG00000203818;ENSG00000168148;ENSG00000132475;ENSG00000163041;ENSG00000178458	HIST1H3J;HIST1H3D;HIST1H3G;HIST1H3B;HIST1H3E;HIST1H3I;HIST1H3A;HIST1H3F;HIST1H3C;HIST1H3H;HIST2H3D;HIST2H3C;HIST2H3A;HIST2H3PS2;HIST3H3;H3F3B;H3F3A;	
WBGene00001902	his-28	K06C4.2	ENSG00000158406;ENSG00000197061;ENSG00000197238;ENSG00000197837;ENSG00000270276;ENSG00000270882;ENSG00000276180;ENSG00000278705;ENSG00000273542;ENSG00000276966;ENSG00000277157;ENSG00000278637;ENSG00000274618;ENSG00000275126;ENSG00000275663	HIST1H4H;HIST1H4C;HIST1H4J;HIST4H4;HIST2H4B;HIST2H4A;HIST1H4I;HIST1H4B;HIST1H4K;HIST1H4E;HIST1H4D;HIST1H4A;HIST1H4F;HIST1H4L;HIST1H4G	
WBGene00001903	his-29	F35H10.11	ENSG00000124635;ENSG00000158373;ENSG00000185130;ENSG00000197903;ENSG00000203814;ENSG00000146047;ENSG00000180596;ENSG00000184678;ENSG00000196890;ENSG00000233822;ENSG00000273703;ENSG00000274641;ENSG00000275713;ENSG00000234289;ENSG00000273802;ENSG00000274290;ENSG00000276410;ENSG00000277224;ENSG00000278588;ENSG00000101812;ENSG00000123569;ENSG00000274559	HIST1H2BJ;HIST1H2BD;HIST1H2BL;HIST1H2BK;HIST2H2BF;HIST1H2BA;HIST1H2BC;HIST2H2BE;HIST3H2BB;HIST1H2BN;HIST1H2BM;HIST1H2BO;HIST1H2BH;H2BFS;HIST1H2BG;HIST1H2BE;HIST1H2BB;HIST1H2BF;HIST1H2BI;H2BFM;H2BFWT;	
WBGene00001904	his-30	F35H10.1	ENSG00000196747;ENSG00000184260;ENSG00000275221;ENSG00000276903;ENSG00000164508;ENSG00000180573;ENSG00000181218;ENSG00000184270;ENSG00000188486;ENSG00000196787;ENSG00000196866;ENSG00000203812;ENSG00000246705;ENSG00000272196;ENSG00000274997;ENSG00000276368;ENSG00000277075;ENSG00000278463;ENSG00000278677	HIST1H2AI;HIST2H2AC;HIST1H2AK;HIST1H2AL;HIST1H2AA;HIST1H2AC;HIST3H2A;HIST2H2AB;H2AFX;HIST1H2AG;HIST1H2AD;HIST2H2AA3;H2AFJ;HIST2H2AA4;HIST1H2AH;HIST1H2AJ;HIST1H2AE;HIST1H2AB;HIST1H2AM	
WBGene00001905	his-31	F17E9.12	ENSG00000158406;ENSG00000197061;ENSG00000197238;ENSG00000197837;ENSG00000270276;ENSG00000270882;ENSG00000276180;ENSG00000278705;ENSG00000273542;ENSG00000276966;ENSG00000277157;ENSG00000278637;ENSG00000274618;ENSG00000275126;ENSG00000275663;ENSG00000196747	HIST1H4H;HIST1H4C;HIST1H4J;HIST4H4;HIST2H4B;HIST2H4A;HIST1H4I;HIST1H4B;HIST1H4K;HIST1H4E;HIST1H4D;HIST1H4A;HIST1H4F;HIST1H4L;HIST1H4G;HIST1H2AI	
WBGene00001906	his-32	F17E9.10	ENSG00000197153;ENSG00000197409;ENSG00000273983;ENSG00000274267;ENSG00000274750;ENSG00000275379;ENSG00000275714;ENSG00000277775;ENSG00000278272;ENSG00000278828;ENSG00000183598;ENSG00000203811;ENSG00000203852;ENSG00000203818;ENSG00000168148;ENSG00000132475;ENSG00000163041;ENSG00000178458	HIST1H3J;HIST1H3D;HIST1H3G;HIST1H3B;HIST1H3E;HIST1H3I;HIST1H3A;HIST1H3F;HIST1H3C;HIST1H3H;HIST2H3D;HIST2H3C;HIST2H3A;HIST2H3PS2;HIST3H3;H3F3B;H3F3A;	
WBGene00001907	his-33	F17E9.13	ENSG00000196747;ENSG00000184260;ENSG00000275221;ENSG00000276903;ENSG00000164508;ENSG00000180573;ENSG00000181218;ENSG00000184270;ENSG00000188486;ENSG00000196787;ENSG00000196866;ENSG00000203812;ENSG00000246705;ENSG00000272196;ENSG00000274997;ENSG00000276368;ENSG00000277075;ENSG00000278463;ENSG00000278677	HIST1H2AI;HIST2H2AC;HIST1H2AK;HIST1H2AL;HIST1H2AA;HIST1H2AC;HIST3H2A;HIST2H2AB;H2AFX;HIST1H2AG;HIST1H2AD;HIST2H2AA3;H2AFJ;HIST2H2AA4;HIST1H2AH;HIST1H2AJ;HIST1H2AE;HIST1H2AB;HIST1H2AM	
WBGene00001908	his-34	F17E9.9	ENSG00000124635;ENSG00000146047;ENSG00000158373;ENSG00000180596;ENSG00000184678;ENSG00000185130;ENSG00000196890;ENSG00000197903;ENSG00000233822;ENSG00000273703;ENSG00000273802;ENSG00000274290;ENSG00000276410;ENSG00000277224;ENSG00000278588;ENSG00000203814;ENSG00000234289;ENSG00000274641;ENSG00000275713;ENSG00000101812;ENSG00000123569;ENSG00000274559	HIST1H2BJ;HIST1H2BA;HIST1H2BD;HIST1H2BC;HIST2H2BE;HIST1H2BL;HIST3H2BB;HIST1H2BK;HIST1H2BN;HIST1H2BM;HIST1H2BG;HIST1H2BE;HIST1H2BB;HIST1H2BF;HIST1H2BI;HIST2H2BF;H2BFS;HIST1H2BO;HIST1H2BH;H2BFM;H2BFWT;	
WBGene00001909	his-35	C50F4.13	ENSG00000184260;ENSG00000196747;ENSG00000164508;ENSG00000180573;ENSG00000181218;ENSG00000184270;ENSG00000188486;ENSG00000196866;ENSG00000275221;ENSG00000276903;ENSG00000196787;ENSG00000203812;ENSG00000246705;ENSG00000272196;ENSG00000276368;ENSG00000277075;ENSG00000278677;ENSG00000274997;ENSG00000278463	HIST2H2AC;HIST1H2AI;HIST1H2AA;HIST1H2AC;HIST3H2A;HIST2H2AB;H2AFX;HIST1H2AD;HIST1H2AK;HIST1H2AL;HIST1H2AG;HIST2H2AA3;H2AFJ;HIST2H2AA4;HIST1H2AJ;HIST1H2AE;HIST1H2AM;HIST1H2AH;HIST1H2AB	
WBGene00001911	his-37	C50F4.7	ENSG00000158406;ENSG00000197061;ENSG00000197238;ENSG00000197837;ENSG00000270276;ENSG00000270882;ENSG00000276180;ENSG00000278705;ENSG00000273542;ENSG00000276966;ENSG00000277157;ENSG00000278637;ENSG00000274618;ENSG00000275126;ENSG00000275663	HIST1H4H;HIST1H4C;HIST1H4J;HIST4H4;HIST2H4B;HIST2H4A;HIST1H4I;HIST1H4B;HIST1H4K;HIST1H4E;HIST1H4D;HIST1H4A;HIST1H4F;HIST1H4L;HIST1H4G	
WBGene00001912	his-38	K03A1.6	ENSG00000197061;ENSG00000158406;ENSG00000197238;ENSG00000197837;ENSG00000270276;ENSG00000270882;ENSG00000276180;ENSG00000278705;ENSG00000273542;ENSG00000276966;ENSG00000277157;ENSG00000278637;ENSG00000274618;ENSG00000275126;ENSG00000275663	HIST1H4C;HIST1H4H;HIST1H4J;HIST4H4;HIST2H4B;HIST2H4A;HIST1H4I;HIST1H4B;HIST1H4K;HIST1H4E;HIST1H4D;HIST1H4A;HIST1H4F;HIST1H4L;HIST1H4G	
WBGene00001913	his-39	F45F2.2	ENSG00000124635;ENSG00000146047;ENSG00000158373;ENSG00000184678;ENSG00000185130;ENSG00000196890;ENSG00000197903;ENSG00000234289;ENSG00000273703;ENSG00000276410;ENSG00000278588;ENSG00000101812;ENSG00000123569;ENSG00000180596;ENSG00000233822;ENSG00000273802;ENSG00000274290;ENSG00000274559;ENSG00000277224;ENSG00000203814;ENSG00000274641;ENSG00000275713	HIST1H2BJ;HIST1H2BA;HIST1H2BD;HIST2H2BE;HIST1H2BL;HIST3H2BB;HIST1H2BK;H2BFS;HIST1H2BM;HIST1H2BB;HIST1H2BI;H2BFM;H2BFWT;HIST1H2BC;HIST1H2BN;HIST1H2BG;HIST1H2BE;;HIST1H2BF;HIST2H2BF;HIST1H2BO;HIST1H2BH	
WBGene00001914	his-40	K03A1.1	ENSG00000197153;ENSG00000197409;ENSG00000273983;ENSG00000274267;ENSG00000274750;ENSG00000275379;ENSG00000275714;ENSG00000277775;ENSG00000278272;ENSG00000278828;ENSG00000183598;ENSG00000203811;ENSG00000203852;ENSG00000168148;ENSG00000203818	HIST1H3J;HIST1H3D;HIST1H3G;HIST1H3B;HIST1H3E;HIST1H3I;HIST1H3A;HIST1H3F;HIST1H3C;HIST1H3H;HIST2H3D;HIST2H3C;HIST2H3A;HIST3H3;HIST2H3PS2	
WBGene00001915	his-41	C50F4.5	ENSG00000124635;ENSG00000146047;ENSG00000158373;ENSG00000184678;ENSG00000185130;ENSG00000196890;ENSG00000197903;ENSG00000180596;ENSG00000233822;ENSG00000273703;ENSG00000276410;ENSG00000278588;ENSG00000203814;ENSG00000234289;ENSG00000273802;ENSG00000274290;ENSG00000277224;ENSG00000274641;ENSG00000275713;ENSG00000101812;ENSG00000123569;ENSG00000274559	HIST1H2BJ;HIST1H2BA;HIST1H2BD;HIST2H2BE;HIST1H2BL;HIST3H2BB;HIST1H2BK;HIST1H2BC;HIST1H2BN;HIST1H2BM;HIST1H2BB;HIST1H2BI;HIST2H2BF;H2BFS;HIST1H2BG;HIST1H2BE;HIST1H2BF;HIST1H2BO;HIST1H2BH;H2BFM;H2BFWT;	
WBGene00001916	his-42	F08G2.3	ENSG00000197153;ENSG00000197409;ENSG00000273983;ENSG00000274267;ENSG00000274750;ENSG00000275379;ENSG00000275714;ENSG00000277775;ENSG00000278272;ENSG00000278828;ENSG00000183598;ENSG00000203811;ENSG00000203852;ENSG00000203818;ENSG00000168148;ENSG00000132475;ENSG00000163041;ENSG00000178458	HIST1H3J;HIST1H3D;HIST1H3G;HIST1H3B;HIST1H3E;HIST1H3I;HIST1H3A;HIST1H3F;HIST1H3C;HIST1H3H;HIST2H3D;HIST2H3C;HIST2H3A;HIST2H3PS2;HIST3H3;H3F3B;H3F3A;	
WBGene00001917	his-43	F08G2.2	ENSG00000196747;ENSG00000184260;ENSG00000275221;ENSG00000276903;ENSG00000164508;ENSG00000180573;ENSG00000181218;ENSG00000184270;ENSG00000188486;ENSG00000196787;ENSG00000196866;ENSG00000203812;ENSG00000246705;ENSG00000272196;ENSG00000274997;ENSG00000276368;ENSG00000277075;ENSG00000278463;ENSG00000278677	HIST1H2AI;HIST2H2AC;HIST1H2AK;HIST1H2AL;HIST1H2AA;HIST1H2AC;HIST3H2A;HIST2H2AB;H2AFX;HIST1H2AG;HIST1H2AD;HIST2H2AA3;H2AFJ;HIST2H2AA4;HIST1H2AH;HIST1H2AJ;HIST1H2AE;HIST1H2AB;HIST1H2AM	
WBGene00001918	his-44	F08G2.1	ENSG00000124635;ENSG00000146047;ENSG00000158373;ENSG00000180596;ENSG00000184678;ENSG00000185130;ENSG00000196890;ENSG00000197903;ENSG00000233822;ENSG00000273703;ENSG00000273802;ENSG00000274290;ENSG00000276410;ENSG00000277224;ENSG00000278588;ENSG00000203814;ENSG00000234289;ENSG00000274641;ENSG00000275713;ENSG00000101812;ENSG00000123569;ENSG00000274559	HIST1H2BJ;HIST1H2BA;HIST1H2BD;HIST1H2BC;HIST2H2BE;HIST1H2BL;HIST3H2BB;HIST1H2BK;HIST1H2BN;HIST1H2BM;HIST1H2BG;HIST1H2BE;HIST1H2BB;HIST1H2BF;HIST1H2BI;HIST2H2BF;H2BFS;HIST1H2BO;HIST1H2BH;H2BFM;H2BFWT;	
WBGene00001919	his-45	B0035.10	ENSG00000197153;ENSG00000197409;ENSG00000273983;ENSG00000274267;ENSG00000274750;ENSG00000275379;ENSG00000275714;ENSG00000277775;ENSG00000278272;ENSG00000278828;ENSG00000183598;ENSG00000203811;ENSG00000203852;ENSG00000203818;ENSG00000168148;ENSG00000132475;ENSG00000163041;ENSG00000178458	HIST1H3J;HIST1H3D;HIST1H3G;HIST1H3B;HIST1H3E;HIST1H3I;HIST1H3A;HIST1H3F;HIST1H3C;HIST1H3H;HIST2H3D;HIST2H3C;HIST2H3A;HIST2H3PS2;HIST3H3;H3F3B;H3F3A;	
WBGene00001920	his-46	B0035.9	ENSG00000158406;ENSG00000197061;ENSG00000197238;ENSG00000197837;ENSG00000270276;ENSG00000270882;ENSG00000276180;ENSG00000278705;ENSG00000273542;ENSG00000276966;ENSG00000277157;ENSG00000278637;ENSG00000274618;ENSG00000275126;ENSG00000275663	HIST1H4H;HIST1H4C;HIST1H4J;HIST4H4;HIST2H4B;HIST2H4A;HIST1H4I;HIST1H4B;HIST1H4K;HIST1H4E;HIST1H4D;HIST1H4A;HIST1H4F;HIST1H4L;HIST1H4G	
WBGene00001921	his-47	B0035.7	ENSG00000196747;ENSG00000184260;ENSG00000275221;ENSG00000276903;ENSG00000164508;ENSG00000180573;ENSG00000181218;ENSG00000184270;ENSG00000188486;ENSG00000196787;ENSG00000196866;ENSG00000203812;ENSG00000246705;ENSG00000272196;ENSG00000274997;ENSG00000276368;ENSG00000277075;ENSG00000278463;ENSG00000278677	HIST1H2AI;HIST2H2AC;HIST1H2AK;HIST1H2AL;HIST1H2AA;HIST1H2AC;HIST3H2A;HIST2H2AB;H2AFX;HIST1H2AG;HIST1H2AD;HIST2H2AA3;H2AFJ;HIST2H2AA4;HIST1H2AH;HIST1H2AJ;HIST1H2AE;HIST1H2AB;HIST1H2AM	
WBGene00001922	his-48	B0035.8	ENSG00000124635;ENSG00000158373;ENSG00000185130;ENSG00000197903;ENSG00000203814;ENSG00000146047;ENSG00000180596;ENSG00000184678;ENSG00000196890;ENSG00000233822;ENSG00000273703;ENSG00000274641;ENSG00000275713;ENSG00000234289;ENSG00000273802;ENSG00000274290;ENSG00000276410;ENSG00000277224;ENSG00000278588;ENSG00000101812;ENSG00000123569;ENSG00000274559	HIST1H2BJ;HIST1H2BD;HIST1H2BL;HIST1H2BK;HIST2H2BF;HIST1H2BA;HIST1H2BC;HIST2H2BE;HIST3H2BB;HIST1H2BN;HIST1H2BM;HIST1H2BO;HIST1H2BH;H2BFS;HIST1H2BG;HIST1H2BE;HIST1H2BB;HIST1H2BF;HIST1H2BI;H2BFM;H2BFWT;	
WBGene00001923	his-49	F07B7.5	ENSG00000197153;ENSG00000197409;ENSG00000273983;ENSG00000274267;ENSG00000274750;ENSG00000275379;ENSG00000275714;ENSG00000277775;ENSG00000278272;ENSG00000278828;ENSG00000183598;ENSG00000203811;ENSG00000203852;ENSG00000203818;ENSG00000168148;ENSG00000132475;ENSG00000163041;ENSG00000178458	HIST1H3J;HIST1H3D;HIST1H3G;HIST1H3B;HIST1H3E;HIST1H3I;HIST1H3A;HIST1H3F;HIST1H3C;HIST1H3H;HIST2H3D;HIST2H3C;HIST2H3A;HIST2H3PS2;HIST3H3;H3F3B;H3F3A;	
